Category,keys,en_GB,de_DE,fr_FR
Header,header.available,Available 24/7,24/7 Beratung,Disponible 24/7
,header.fixed_price,Free fixed-price offer,Kostenloses Fixpreisangebot,Offre fixe gratuite
,header.reliable,Reliable quality,Zuverlässige Qualität,Fiabilité
,header.phone,020 7138 9032,030 224 030 462,01 85 65 34 95
Categories,homepage.categories.plastering,Plastering,Putzarbeiten,Plâtrage
,homepage.categories.wallpapering,Wallpapering,Tapezierarbeiten,Tapisserie
,homepage.categories.painting,Painting,Malerarbeiten,Peinture
,homepage.categories.lacquering,Varnishing,Lackierarbeiten,Laque
,homepage.categories.security,Home Security,Sicherheitssysteme,Sécurité
,homepage.categories.electrical,Electricity,Elektroarbeiten,Electricité
,homepage.categories.plumbing,Plumbing,Sanitärarbeiten,Plomberie
,homepage.categories.flooring,Flooring,Bodenlegen,Sols
